noun	suffix	v_trans	v_dyn	v_dur	v_tel	v_post_phase	v_rol_subj	v_rol_obj	v_rol_obq	n_onto	n_relation	n_dyn	n_dur	n_tel	n_post_phase	n_rol_arg1	n_rol_arg2	n_rol_arg3
crèvement1	ment	y	y	n	y	n	cau	pat	na	evt	tsp	y	n	y	n	pat	cau	na
crèvement2	ment	n	y	n	y	n	pat	na	na	evt	tsp	y	n	y	n	pat	na	na
crispement	ment	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
croquement1	ment	y	y	n	y	n	agt	pat	na	evt	tsp	y	n	y	n	pat	agt	na
croquement2	ment	y	y	y	y	n	agt	res	na	evt	tsp	y	y	y	n	res	agt	na
croquement3	ment	n	y	n	y	n	cau	na	na	evt	tsp	y	n	y	n	cau	na	na
croquement4	ment	n	n	y	n	n	pvt	na	na	ppt	tsp	n	na	na	na	pvt	na	na
déblatèrement	ment	y	y	y	n	n	agt	res	na	cog*evt	tsp	y	y	n	n	res	agt	na
débraiement1	ment	y	y	n	y	y	agt	pat	na	evt*sta	tsp	y	n	y	y	pat	agt	na
débraiement2	ment	n	y	y	n	n	agt	na	na	evt	tsp	y	y	n	n	agt	na	na
déconcertement	ment	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
définissement	ment	y	y	y	y	n	cau	tpc	na	cog*evt	tsp	y	y	y	n	tpc	cau	na
délavement1	ment	y	y	y	v	n	cau	pat	na	evt*sta	tsp	y	y	v	n	pat	cau	na
délavement2	ment	y	y	y	v	n	cau	pat	na	ppt	res	n	na	na	na	na	na	na
délavement3	ment	n	y	y	v	n	pat	na	na	evt*sta	tsp	y	y	v	n	pat	na	na
démangement	ment	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
démissionnement	ment	n	y	n	y	n	agt	na	src	evt	tsp	y	n	y	n	src	agt	na
déstressement	ment	n	y	y	v	y	exp	na	na	evt*sta	tsp	y	y	v	y	exp	na	na
détaillement	ment	y	y	y	n	n	agt	tpc	na	cog*evt	tsp	y	y	n	n	tpc	agt	na
édentement1	ment	n	y	y	v	n	pat	na	na	evt*sta	tsp	y	y	v	n	pat	na	na
édentement2	ment	n	y	y	v	n	pat	na	na	nat	res	na	na	na	na	na	na	na
effrangement1	ment	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
effrangement2	ment	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
effrangement3	ment	n	y	y	v	y	pat	na	na	nat	res	na	na	na	na	na	na	na
embroussaillement	ment	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
